,prova_realizada_em,dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,cidade_de_nascimento,bairro
10098,GO - Goiás,04/08/2016,"6,8","2,3",manhã,Masculino,Solteiro(a),Ensino médio,Uruaçu,RESIDENCIAL JORGINA
10099,GO - Goiás,05/08/2016,"6,8","1,8",Noite,Masculino,Casado(a),Superior,GOIÂNIA,Village Atalaia
10100,GO - Goiás,13/08/2016,"6,8","1,3",manhã,Feminino,Casado(a),Ensino médio,Sao Luis de Montes Belos,Vila Uniao
10101,GO - Goiás,12/08/2016,"6,7","2,2",manhã,Feminino,Casado(a),Especialização,Mara Rosa,Zona Rural
10102,GO - Goiás,08/08/2016,"6,7","1,7",Noite,Feminino,Divorciado(a),Ensino médio,Santa Terezinha de Goiás,Setor aeroporto
10103,GO - Goiás,13/08/2016,"6,7","1,2",Noite,Masculino,Solteiro(a),Ensino médio,Goiania,Setor Central
10104,GO - Goiás,04/08/2016,"6,7","1,2",manhã,Masculino,Solteiro(a),Ensino médio,Uruaçu,etor Central
10105,GO - Goiás,07/08/2016,"6,65","1,9",Noite,Feminino,Casado(a),Superior incompleto,CERES,SETOR CENTRAL
10106,GO - Goiás,05/08/2016,"6,65","1,9",manhã,Feminino,Solteiro(a),Ensino médio,URUACU,Setor Central
10107,GO - Goiás,06/08/2016,"6,65","1,9",manhã,Feminino,Solteiro(a),Ensino médio,uruaçu,jardim bela vista
10108,GO - Goiás,12/08/2016,"6,65","1,4",manhã,Masculino,Casado(a),Ensino médio,Mara Rosa,centro
10109,GO - Goiás,04/08/2016,"6,55","2,3",Noite,Masculino,Solteiro(a),Superior,Rio Verde,Setor Nossa Senhora da Piedade
10110,GO - Goiás,08/08/2016,"6,5",2,Noite,Masculino,Solteiro(a),Superior incompleto,uruacu,Setor casego
10111,GO - Goiás,12/08/2016,"6,4","1,9",Noite,Feminino,Solteiro(a),Ensino médio,URUAÇU,SÃO VICENTE
10112,GO - Goiás,11/08/2016,"6,4","1,9",Noite,Feminino,Solteiro(a),Ensino médio,Uruaçu ,Sol vermelho 
10113,GO - Goiás,08/08/2016,"6,35","2,1",manhã,Feminino,Solteiro(a),Ensino médio,MARA ROSA,Jardim Campo Formoso
10114,GO - Goiás,11/08/2016,"6,35","1,6",Noite,Masculino,Solteiro(a),Nível técnico,Uruaçu,Setor Central
10115,GO - Goiás,13/08/2016,"6,3","1,8",manhã,Feminino,Casado(a),Ensino médio,URUAÇU,SETOR SUL 1
10116,GO - Goiás,08/08/2016,"6,25",2,manhã,Feminino,Solteiro(a),Ensino médio,Goiânia,Pereira Campos
10117,GO - Goiás,13/08/2016,"6,25","1,5",Noite,Masculino,Casado(a),Ensino médio,FORMOSO,Setor Central
10118,GO - Goiás,05/08/2016,"6,2","2,2",Noite,Masculino,Solteiro(a),Superior,Uruaçu,Setor Central
10119,GO - Goiás,05/08/2016,"6,2","1,7",manhã,Masculino,Casado(a),Superior,URUAÇU,SETOR SUL I
10120,GO - Goiás,04/08/2016,"6,2","1,7",Noite,Masculino,Solteiro(a),Ensino médio,formosa,Setor Central
10121,GO - Goiás,04/08/2016,"6,2","1,7",manhã,Feminino,Solteiro(a),Superior incompleto,Goiânia,Residencial Recanto da Serra
10122,GO - Goiás,04/08/2016,"6,15","1,9",manhã,Feminino,Solteiro(a),Ensino médio,uruaçu,sao sebastiao
10123,GO - Goiás,13/08/2016,"6,15","1,4",Noite,Feminino,Divorciado(a),Superior incompleto,Uruaçu,Setor Central
10124,GO - Goiás,08/08/2016,"6,1","2,1",manhã,Feminino,Casado(a),Especialização,Uruaçu,Novo Horizonte 
10125,GO - Goiás,07/08/2016,"6,1","1,6",Noite,Feminino,Solteiro(a),Ensino médio,URUAÇU- GO,VILA SANTANA
10126,GO - Goiás,12/08/2016,"6,1","1,6",Noite,Masculino,Solteiro(a),Ensino médio,uruaçu,vale do sol
10127,GO - Goiás,08/08/2016,6,2,manhã,Feminino,Solteiro(a),Superior,CAMPINORTE,VILA BATISTA
10128,GO - Goiás,08/08/2016,6,2,manhã,Feminino,Divorciado(a),Ensino médio,Uruaçu,Vila nossa senhora da abadia
10129,GO - Goiás,12/08/2016,6,2,manhã,Feminino,Solteiro(a),Superior,Barro Alto,Setor Central
10130,GO - Goiás,11/08/2016,6,2,Noite,Feminino,Solteiro(a),Ensino médio,Uruaçu,São Sebastião
10131,GO - Goiás,13/08/2016,6,"1,5",manhã,Feminino,Solteiro(a),Ensino médio,Aparecida de Goiânia,Setor Vale do Sol
10132,GO - Goiás,11/08/2016,"5,95","1,7",manhã,Masculino,Solteiro(a),Ensino médio,Uruaçu,São Vicentel
10133,GO - Goiás,11/08/2016,"5,95","1,2",manhã,Masculino,Casado(a),Superior,Mara rosa,Jardim das Esmeraldas
10134,GO - Goiás,08/08/2016,"5,9","1,9",manhã,Feminino,Solteiro(a),Superior,Campinorte,Setor Central
10135,GO - Goiás,11/08/2016,"5,9","1,4",manhã,Masculino,Solteiro(a),Ensino médio,Mara Rosa ,Fazenda Gonçalo
10136,GO - Goiás,11/08/2016,"5,8","1,8",Noite,Masculino,Solteiro(a),Ensino médio,Brasilia,Setor Central
10137,GO - Goiás,11/08/2016,"5,75",2,Noite,Masculino,Casado(a),Ensino médio,URUAÇU,SETOR SUL 02
10138,GO - Goiás,12/08/2016,"5,75",2,manhã,Masculino,Casado(a),Ensino médio,campinorte,st Dona Elvira
10139,GO - Goiás,12/08/2016,"5,7","1,7",manhã,Feminino,Solteiro(a),Superior,uruaçu,sol vermelho
10140,GO - Goiás,12/08/2016,"5,7","1,7",manhã,Feminino,Solteiro(a),Ensino médio,Timbauba ,Setor Sul 2
10141,GO - Goiás,11/08/2016,"5,7","1,7",Noite,Masculino,Solteiro(a),Ensino médio,Uruaçu ,Sol vermelho 
10142,GO - Goiás,12/08/2016,"5,65","1,9",manhã,Feminino,Solteiro(a),Ensino médio,CRIXÁS,Setor Central
10143,GO - Goiás,11/08/2016,"5,65","1,4",Noite,Feminino,Divorciado(a),Especialização,Uruaçu,Jardim bela vista
10144,GO - Goiás,07/08/2016,"5,65","1,4",Noite,Masculino,Solteiro(a),Ensino médio,URUAÇU,Setor Central
10145,GO - Goiás,13/08/2016,"5,65","1,4",manhã,Feminino,Solteiro(a),Superior incompleto,Uruaçu ,Setor Central
10146,GO - Goiás,12/08/2016,"5,55","1,3",manhã,Masculino,Casado(a),Ensino médio,ITABERAI ,ZONA RURAL
10147,GO - Goiás,13/08/2016,"5,55","1,3",manhã,Feminino,Solteiro(a),Ensino médio,URUAÇU-GO,Setor Central
10148,GO - Goiás,11/08/2016,"5,5","1,5",manhã,Masculino,Solteiro(a),Ensino médio,uruaçu,JARDIM SANTA HELENA 
10149,GO - Goiás,07/08/2016,"5,45","1,7",Noite,Masculino,Solteiro(a),Ensino médio,CAMPINORTE GOIAS,SETOR NOVO HORIZONTE
10150,GO - Goiás,13/08/2016,"5,45","1,2",Noite,Feminino,Casado(a),Superior,Uruaçu,Setor Casego
10151,GO - Goiás,14/01/2017,"5,4","1,4",Noite,Masculino,Solteiro(a),Ensino médio,ANAPOLIS,Jundiaí
10152,GO - Goiás,11/08/2016,"5,3","1,3",Noite,Masculino,Solteiro(a),Ensino médio,Goiânia,Rural
10153,GO - Goiás,13/08/2016,"5,3","1,3",manhã,Feminino,Solteiro(a),Ensino médio,CERES,SETOR RODOVIARIO I
10154,GO - Goiás,11/08/2016,"5,25","1,5",manhã,Feminino,Solteiro(a),Superior,Uruaçu,Vila Santana 
10155,GO - Goiás,13/08/2016,"5,2","1,2",Noite,Feminino,Casado(a),Ensino médio,Uruaçu,Jardim Santa Helena
10156,GO - Goiás,13/08/2016,"5,2","1,2",manhã,Feminino,Divorciado(a),Superior,CERES,SETOR SUL II
10157,GO - Goiás,13/08/2016,"5,2","1,2",Noite,Feminino,Casado(a),Ensino médio,formoso,Setor Central
10158,GO - Goiás,11/08/2016,"5,15","1,4",Noite,Masculino,Solteiro(a),Especialização,Mara Rosa,Residencial Sul
10159,GO - Goiás,12/08/2016,"5,05","1,3",manhã,Masculino,Casado(a),Superior,Santo Angelo,Copacabana
10160,GO - Goiás,04/08/2016,"4,75",1,Noite,Feminino,Casado(a),Ensino médio,Santa Terezinha de goias,Setor Central
10161,RJ - Rio de Janeiro,08/08/2016,"8,75",2,Noite,Masculino,Solteiro(a),Ensino médio,Rio de Janeiro,Parque Aurora
10162,RJ - Rio de Janeiro,13/08/2016,"8,55","1,8",Noite,Feminino,Solteiro(a),Superior incompleto,Juiz de Fora,Parque Turf Club
10163,RJ - Rio de Janeiro,11/08/2016,"8,5",2,Noite,Masculino,Casado(a),Especialização,Bom Jesus do Itabapoana,Parque São Jorge
10164,RJ - Rio de Janeiro,13/08/2016,"8,1","1,6",Noite,Masculino,Casado(a),Nível técnico,campos dos goytacazes,Parque Eldorado
10165,RJ - Rio de Janeiro,11/08/2016,8,2,Noite,Feminino,Casado(a),Superior,Campos dos Goytacazes,Ururaí
10166,RJ - Rio de Janeiro,12/08/2016,8,"1,5",Noite,Masculino,Solteiro(a),Superior,niteroi,Centro
10167,RJ - Rio de Janeiro,01/08/2016,"7,85","2,1",Noite,Feminino,Solteiro(a),Não informado,Lajinha,Centro
10168,RJ - Rio de Janeiro,13/08/2016,"7,85","1,6",manhã,Masculino,Solteiro(a),Ensino médio,Campos dos Goytacazes ,Tócos
10169,RJ - Rio de Janeiro,06/08/2016,"7,75",2,Noite,Masculino,Solteiro(a),Superior incompleto,Muqui,Parque Califórnia
10170,RJ - Rio de Janeiro,13/08/2016,"7,6","1,6",manhã,Feminino,Divorciado(a),Superior,Campos dos Goytacazes,Parque São Jorge
10171,RJ - Rio de Janeiro,11/08/2016,"7,55","2,3",manhã,Feminino,Solteiro(a),Superior incompleto,Campos dos goytacazes,Parque Presidente Vargas
10172,RJ - Rio de Janeiro,09/08/2016,"7,55","1,8",manhã,Masculino,Casado(a),Especialização,Campos dos Goytacazes,Centro
10173,RJ - Rio de Janeiro,04/08/2016,"7,5","1,5",Noite,Masculino,Casado(a),Superior incompleto,Altamira,Parque Califórnia
10174,RJ - Rio de Janeiro,13/08/2016,"7,4","1,9",manhã,Masculino,Solteiro(a),Superior,Campos dos Goytacazes,Parque Prazeres
10175,RJ - Rio de Janeiro,13/08/2016,"7,35","1,6",Noite,Masculino,Solteiro(a),Ensino médio,São João da Barra ,Centro
10176,RJ - Rio de Janeiro,06/08/2016,"7,35","1,6",manhã,Masculino,Casado(a),Ensino médio,Bom Jesus do itabapoana,Travessão
